name,scenario,repetition,NumberofVehicles,Type,NodeID,TR,recAddress,x,y,MsgId,CH,Reroute,Speed,Hops,SumoDistance,MsgTime,DistanceToAccident,Delay
"BCN,150-,0",BCN,0,150,node,118,rx,-1,728.1010000000001,1295.62,25079893,176,0,7,3,440.515,16.9544,346.1274762872776,3.965299999999999
"BCN,200-,1",BCN,1,200,node,102,tx,-1,878.04,1447.91,77189829,176,1,9,1,417.837,14.3461,339.52013798889755,2.064
"BCN,150-,1",BCN,1,150,node,32,rx,-1,839.382,1408.33,35157137,176,1,11,3,361.348,16.0544,326.6495457887551,2.983500000000001
"BCN,150-,2",BCN,2,150,node,66,rx,-1,862.758,1327.84,47312870,176,0,11,2,248.21400000000003,14.8543,247.5835343959691,2.6861999999999995
"BCN,200-,2",BCN,2,200,node,133,rx,-1,904.16,1466.03,93795832,176,1,2,4,454.86300000000006,15.5546,345.10673392444846,2.794600000000001
"BCN,150-,1",BCN,1,150,node,120,rx,-1,796.3919999999999,1361.54,35157137,176,1,6,3,886.38,16.0544,322.52229380928077,2.983500000000001
"BCN,150-,2",BCN,2,150,node,48,rx,-1,825.074,1331.62,47312870,176,0,10,2,839.184,14.8543,278.0405357065765,2.6861999999999995
"BCN,200-,1",BCN,1,200,node,29,rx,-1,863.895,1433.56,77189829,176,1,9,3,397.681,14.3544,334.33241949443067,2.0723000000000003
"BCN,150-,0",BCN,0,150,node,142,rx,-1,715.789,1282.56,25079893,176,0,0,3,458.464,16.9544,352.2227205632822,3.965299999999999
"BCN,100-,2",BCN,2,100,node,97,tx,-1,1309.33,1325.57,20762704,176,1,7,1,652.446,22.4249,320.3081673950884,9.471900000000002
"BCN,200-,2",BCN,2,200,node,73,rx,-1,887.691,1457.78,93795832,176,1,7,4,432.57,15.5546,344.6410550137636,2.794600000000001
"BCN,100-,0",BCN,0,100,node,70,rx,-1,1326.54,451.375,9015077,176,0,12,6,1457.86,19.6545,755.0401869602704,6.995499999999998
"BCN,200-,0",BCN,0,200,node,81,rx,-1,795.8380000000001,1364.73,56245784,176,1,3,2,343.425,15.374,326.90658360455194,2.9213000000000005
"BCN,200-,2",BCN,2,200,node,2,rx,-1,821.0889999999999,1504.1,93795832,176,0,12,4,747.7239999999999,15.5546,417.73721452726716,2.794600000000001
"BCN,150-,0",BCN,0,150,node,122,tx,-1,1382.61,1189.88,25079893,176,0,6,1,1099.17,17.0194,342.7393518404327,4.0303
"BCN,200-,1",BCN,1,200,node,57,rx,-1,848.877,1418.31,77189829,176,1,11,3,376.28,14.3544,330.07226513144053,2.0723000000000003
"BCN,200-,0",BCN,0,200,node,16,rx,-1,816.551,1340.08,56245784,176,1,8,2,856.3389999999999,15.374,295.13942031013056,2.9213000000000005
